article_slug,platform,post_text,hashtags
1906-san-francisco-earthquake,Instagram,"In just 47 seconds, one of America's greatest cities was reduced to rubble. The 1906 San Francisco earthquake unleashed fires that burned for three days. Read the full story at HistoryNews [link in bio]","#SanFrancisco #Earthquake #1906Earthquake #HistoryNews #NaturalDisaster #CaliforniaHistory #AmericanHistory #DisasterHistory #HistoricalEvents #TodayInHistory"
1906-san-francisco-earthquake,Facebook,"What would you do if your entire city was destroyed in under a minute? In 1906, San Francisco residents lived that nightmare. The earthquake lasted just 47 seconds — but the fires that followed burned for three days and left 250,000 people homeless. Read more: historynews.example.com/articles/1906-san-francisco-earthquake","#SanFrancisco #1906Earthquake #HistoryNews #NaturalDisaster #AmericanHistory"
1906-san-francisco-earthquake,TikTok,"47 seconds. That's all it took to destroy San Francisco. The 1906 earthquake changed disaster response forever.","#SanFrancisco #Earthquake #HistoryNews #DisasterHistory #LearnOnTikTok #HistoryTok #EdTok"
1918-spanish-flu-pandemic,Instagram,"Sound familiar? In 1918, Americans argued over masks, businesses shut down, and cities that acted fast saved lives. History doesn't repeat — but it rhymes. Read the full story at HistoryNews [link in bio]","#SpanishFlu #1918Pandemic #Pandemic #HistoryRepeats #MaskDebate #PublicHealth #HistoryNews #AmericanHistory #HistoricalParallels #LearnFromHistory"
1918-spanish-flu-pandemic,Facebook,"Over a century ago, Americans were fighting the same battles we know today — mask mandates, lockdowns, and public health debates. The 1918 Spanish Flu killed an estimated 50 million people worldwide. What lessons did we actually learn? Read more: historynews.example.com/articles/1918-spanish-flu-pandemic","#SpanishFlu #1918Pandemic #HistoryNews #PublicHealth #HistoryRepeats"
1918-spanish-flu-pandemic,TikTok,"Did you know Americans were fighting over masks more than 100 years ago? The 1918 flu debate hits different now.","#SpanishFlu #Pandemic #HistoryTok #LearnOnTikTok #HistoryNews #MaskDebate #TheMoreYouKnow"
19th-amendment,Instagram,"It took 72 years of marching, protesting, hunger strikes, and imprisonment — but in 1920, women finally won the right to vote. Their fight changed democracy forever. Read the full story at HistoryNews [link in bio]","#19thAmendment #WomensSuffrage #VotingRights #WomensHistory #Democracy #EqualRights #HistoryNews #AmericanHistory #SuffragetteMovement #HerStory"
19th-amendment,Facebook,"Imagine being told you can't vote simply because of your gender. For millions of American women, that was reality until 1920. The fight for the 19th Amendment lasted over seven decades. Do you think we take voting rights for granted today? Read more: historynews.example.com/articles/19th-amendment","#19thAmendment #WomensSuffrage #HistoryNews #VotingRights #WomensHistory"
19th-amendment,TikTok,"This changed everything for half the population. Women couldn't vote in America until 1920. The fight took 72 YEARS.","#WomensSuffrage #19thAmendment #HistoryTok #LearnOnTikTok #HistoryNews #WomensRights #Democracy"
assassination-franz-ferdinand,Instagram,"One wrong turn by a driver put Archduke Franz Ferdinand directly in front of his assassin. That single mistake triggered a chain of events that started World War I. Read the full story at HistoryNews [link in bio]","#FranzFerdinand #WWI #WorldWarI #Assassination #HistoryNews #TurningPoint #WorldHistory #ButterflyEffect #HistoricalEvents #WarHistory"
